video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
D0529.npz,60,0.0,0.7,0.08333333333333333,1.0,0.9166666666666666,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,VSL
D0530.npz,60,0.0,0.8,0.0,1.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.3833333333333333,False,VSL
D0551B.npz,60,0.0,0.7416666666666667,0.000641025641025641,1.0,0.9993589743589744,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,False,VSL
D0551N.npz,60,0.0,0.6833333333333333,0.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,VSL
D0551T.npz,60,0.0,0.7666666666666667,0.000641025641025641,1.0,0.9993589743589744,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,False,VSL
D0552B.npz,60,0.0,0.7083333333333334,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,VSL
D0552N.npz,60,0.0,0.6416666666666667,0.08333333333333333,1.0,0.9166666666666666,0.35,0.35,0.35,0.65,False,VSL
D0552T.npz,60,0.0,0.7166666666666667,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,VSL
D0539.npz,60,0.0,0.725,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,VSL
D0550B.npz,60,0.0,0.675,0.016666666666666666,1.0,0.9833333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,VSL
D0550N.npz,60,0.0,0.775,0.05,1.0,0.95,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,False,VSL
D0550T.npz,60,0.0,0.775,0.0,1.0,1.0,0.55,0.55,0.55,0.44999999999999996,False,VSL
D0547.npz,60,0.0,0.8166666666666667,0.0,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.3666666666666667,False,VSL
D0548N.npz,60,0.0,0.7583333333333333,0.0,1.0,1.0,0.55,0.55,0.55,0.44999999999999996,False,VSL
D0540B.npz,60,0.0,0.7833333333333333,0.016666666666666666,1.0,0.9833333333333333,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,False,VSL
D0540N.npz,60,0.0,0.7416666666666667,0.18333333333333332,1.0,0.8166666666666667,0.5,0.5,0.5,0.5,False,VSL
D0540T.npz,60,0.0,0.7416666666666667,0.0,1.0,1.0,0.5,0.5,0.5,0.5,False,VSL
D0541B.npz,60,0.0,0.75,0.016666666666666666,1.0,0.9833333333333333,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,VSL
D0541N.npz,60,0.0,0.725,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,VSL
D0541T.npz,60,0.0,0.725,0.0,1.0,1.0,0.45,0.45,0.45,0.55,False,VSL
D0531.npz,60,0.0,0.7666666666666667,0.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,VSL
D0299.npz,60,0.0,0.6416666666666667,0.0,1.0,1.0,0.6,0.6,0.6,0.4,False,VSL
D0181.npz,60,0.0,0.06666666666666667,0.0,1.0,1.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,VSL
D0542B.npz,60,0.0,0.7583333333333333,0.016666666666666666,1.0,0.9833333333333333,0.55,0.55,0.55,0.44999999999999996,False,VSL
D0542N.npz,60,0.0,0.6916666666666667,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,VSL
D0542T.npz,60,0.0,0.6916666666666667,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,VSL
D0532.npz,60,0.0,0.75,0.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,VSL
D0543N.npz,60,0.0,0.7416666666666667,0.0,1.0,1.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,VSL
D0543T.npz,60,0.016666666666666666,0.7416666666666667,0.18333333333333332,0.9833333333333333,0.8166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,VSL
D0533.npz,60,0.0,0.7916666666666666,0.0,1.0,1.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.41666666666666663,False,VSL
D0544.npz,60,0.0,0.675,0.0,1.0,1.0,0.35,0.35,0.35,0.65,False,VSL
D0534.npz,60,0.0,0.7666666666666667,0.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,VSL
