video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
D0529.npz,60,0.0,0.5555555555555556,0.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,VSL
D0530.npz,60,0.0,0.5555555555555556,0.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,VSL
D0551B.npz,60,0.0,0.5873015873015873,0.001282051282051282,1.0,0.9987179487179487,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8666666666666667,False,VSL
D0551N.npz,60,0.0,0.5873015873015873,0.0,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8666666666666667,False,VSL
D0551T.npz,60,0.0,0.5873015873015873,0.0,1.0,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8666666666666667,False,VSL
D0552B.npz,60,0.0,0.5555555555555556,0.03333333333333333,1.0,0.9666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,VSL
D0552N.npz,60,0.0,0.5476190476190477,0.06666666666666667,1.0,0.9333333333333333,0.05,0.05,0.05,0.95,False,VSL
D0552T.npz,60,0.0,0.5555555555555556,0.03397435897435897,1.0,0.966025641025641,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,VSL
D0539.npz,60,0.0,0.5555555555555556,0.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,False,VSL
D0550B.npz,65,0.0,0.6703296703296703,0.0,1.0,1.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6923076923076923,False,VSL
D0550N.npz,60,0.0,0.6190476190476191,0.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,VSL
D0550T.npz,60,0.0,0.5396825396825397,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,VSL
D0547.npz,60,0.0,0.7301587301587301,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,VSL
D0548N.npz,140,0.0,0.2108843537414966,0.0,1.0,1.0,0.15714285714285714,0.15714285714285714,0.15714285714285714,0.8428571428571429,True,VSL
D0540B.npz,74,0.0,0.6653796653796654,0.0,1.0,1.0,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.7027027027027026,False,VSL
D0540N.npz,181,0.0,0.5816890292028414,0.0,1.0,1.0,0.12154696132596685,0.12154696132596685,0.12154696132596685,0.8784530386740331,False,VSL
D0540T.npz,181,0.0,0.5816890292028414,0.0,1.0,1.0,0.12154696132596685,0.12154696132596685,0.12154696132596685,0.8784530386740331,False,VSL
D0541B.npz,72,0.0,0.6693121693121693,0.0,1.0,1.0,0.3055555555555556,0.3055555555555556,0.3055555555555556,0.6944444444444444,False,VSL
D0541N.npz,162,0.0,0.588477366255144,0.0,1.0,1.0,0.13580246913580246,0.13580246913580246,0.13580246913580246,0.8641975308641976,False,VSL
D0541T.npz,164,0.0,0.5934959349593496,0.0,1.0,1.0,0.14634146341463414,0.14634146341463414,0.14634146341463414,0.8536585365853658,False,VSL
D0531.npz,71,0.0,0.664654594232059,0.0,1.0,1.0,0.29577464788732394,0.29577464788732394,0.29577464788732394,0.704225352112676,False,VSL
D0299.npz,97,0.0,0.30289641629847813,0.0,1.0,1.0,0.24742268041237114,0.24742268041237114,0.24742268041237114,0.7525773195876289,False,VSL
D0181.npz,103,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,VSL
D0542B.npz,60,0.0,0.6904761904761905,0.016666666666666666,1.0,0.9833333333333333,0.35,0.35,0.35,0.65,False,VSL
D0542N.npz,137,0.0,0.5933263816475496,0.0,1.0,1.0,0.145985401459854,0.145985401459854,0.145985401459854,0.8540145985401459,False,VSL
D0542T.npz,137,0.0,0.5933263816475496,0.0,1.0,1.0,0.145985401459854,0.145985401459854,0.145985401459854,0.8540145985401459,False,VSL
D0532.npz,71,0.0,0.6579476861167002,0.0,1.0,1.0,0.28169014084507044,0.28169014084507044,0.28169014084507044,0.7183098591549295,False,VSL
D0543N.npz,180,0.0,0.5793650793650794,0.0,1.0,1.0,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,False,VSL
