dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,10 000 (mười nghìn),D0550N.npz,dataset\VSL\10 000 (mười nghìn)\D0550N.npz,left,0.16666666666666666,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,10 000 (mười nghìn),D0550N.npz,dataset\VSL\10 000 (mười nghìn)\D0550N.npz,right,0.16666666666666666,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,10 000 (mười nghìn),D0550T.npz,dataset\VSL\10 000 (mười nghìn)\D0550T.npz,left,0.3,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,10 000 (mười nghìn),D0550T.npz,dataset\VSL\10 000 (mười nghìn)\D0550T.npz,right,0.3,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,1000 (một nghìn),D0548N.npz,dataset\VSL\1000 (một nghìn)\D0548N.npz,left,0.8142857142857143,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,1000 (một nghìn),D0548N.npz,dataset\VSL\1000 (một nghìn)\D0548N.npz,right,0.8142857142857143,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,2 _ 5 (Toán học),D0299.npz,dataset\VSL\2 _ 5 (Toán học)\D0299.npz,left,0.7422680412371134,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,2 _ 5 (Toán học),D0299.npz,dataset\VSL\2 _ 5 (Toán học)\D0299.npz,right,0.7422680412371134,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,2 _ 6 (Toán học),D0181.npz,dataset\VSL\2 _ 6 (Toán học)\D0181.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,2 _ 6 (Toán học),D0181.npz,dataset\VSL\2 _ 6 (Toán học)\D0181.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,5 _ 3 (Toán học),D0180.npz,dataset\VSL\5 _ 3 (Toán học)\D0180.npz,left,1.0,shoulder,0.0,0.9666666666666667,0.022222222222222223,0.0,0.011111111111111112
VSL,5 _ 3 (Toán học),D0180.npz,dataset\VSL\5 _ 3 (Toán học)\D0180.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,5000 (năm nghìn),D0549B.npz,dataset\VSL\5000 (năm nghìn)\D0549B.npz,left,0.5666666666666667,shoulder,0.0,1.0,0.0,0.0,0.0
