dataset,gloss,video,path,left_valid_ratio,right_valid_ratio,left_motion_magnitude,right_motion_magnitude,left_trajectory_length,right_trajectory_length,left_motion_std,right_motion_std,activity_type
VSL,0 (số không),D0529.npz,dataset\VSL\0 (số không)\D0529.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1,D0530.npz,dataset\VSL\1\D0530.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 (một triệu),D0551B.npz,dataset\VSL\1 000 000 (một triệu)\D0551B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 (một triệu),D0551N.npz,dataset\VSL\1 000 000 (một triệu)\D0551N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 (một triệu),D0551T.npz,dataset\VSL\1 000 000 (một triệu)\D0551T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 000 (một tỉ),D0552B.npz,dataset\VSL\1 000 000 000 (một tỉ)\D0552B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 000 (một tỉ),D0552N.npz,dataset\VSL\1 000 000 000 (một tỉ)\D0552N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1 000 000 000 (một tỉ),D0552T.npz,dataset\VSL\1 000 000 000 (một tỉ)\D0552T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,10,D0539.npz,dataset\VSL\10\D0539.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,10 000 (mười nghìn),D0550B.npz,dataset\VSL\10 000 (mười nghìn)\D0550B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,10 000 (mười nghìn),D0550N.npz,dataset\VSL\10 000 (mười nghìn)\D0550N.npz,0.16666666666666666,0.16666666666666666,0.0031005004420876503,0.010466535575687885,0.027904503047466278,0.09419882297515869,0.0018537772120907903,0.0067968652583658695,low_hand_activity
VSL,10 000 (mười nghìn),D0550T.npz,dataset\VSL\10 000 (mười nghìn)\D0550T.npz,0.3,0.3,0.006862136535346508,0.016434017568826675,0.11665631830692291,0.2793782949447632,0.003662089118734002,0.010799025185406208,two_hand
VSL,100,D0547.npz,dataset\VSL\100\D0547.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,1000 (một nghìn),D0548N.npz,dataset\VSL\1000 (một nghìn)\D0548N.npz,0.8142857142857143,0.8142857142857143,0.006193323992192745,0.008961108513176441,0.6998456120491028,1.0126053094863892,0.009005745872855186,0.01467303466051817,two_hand
VSL,11,D0540B.npz,dataset\VSL\11\D0540B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,11,D0540N.npz,dataset\VSL\11\D0540N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,11,D0540T.npz,dataset\VSL\11\D0540T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,12,D0541B.npz,dataset\VSL\12\D0541B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,12,D0541N.npz,dataset\VSL\12\D0541N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,12,D0541T.npz,dataset\VSL\12\D0541T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,2,D0531.npz,dataset\VSL\2\D0531.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,2 _ 5 (Toán học),D0299.npz,dataset\VSL\2 _ 5 (Toán học)\D0299.npz,0.7422680412371134,0.7422680412371134,0.007317821960896254,0.010561036877334118,0.5195653438568115,0.7498336434364319,0.009501513093709946,0.009748825803399086,two_hand
VSL,2 _ 6 (Toán học),D0181.npz,dataset\VSL\2 _ 6 (Toán học)\D0181.npz,1.0,1.0,0.004972196649760008,0.009416081942617893,0.5071640610694885,0.9604403376579285,0.006519738584756851,0.009465656243264675,two_hand
VSL,23,D0542B.npz,dataset\VSL\23\D0542B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,23,D0542N.npz,dataset\VSL\23\D0542N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,23,D0542T.npz,dataset\VSL\23\D0542T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,3,D0532.npz,dataset\VSL\3\D0532.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,33,D0543N.npz,dataset\VSL\33\D0543N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,33,D0543T.npz,dataset\VSL\33\D0543T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,4,D0533.npz,dataset\VSL\4\D0533.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,40,D0544.npz,dataset\VSL\40\D0544.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,5,D0534.npz,dataset\VSL\5\D0534.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,5 _ 3 (Toán học),D0180.npz,dataset\VSL\5 _ 3 (Toán học)\D0180.npz,1.0,1.0,0.008698899298906326,0.011940112337470055,0.7742020487785339,1.0626699924468994,0.02407197840511799,0.02562333643436432,two_hand
VSL,5000 (năm nghìn),D0549B.npz,dataset\VSL\5000 (năm nghìn)\D0549B.npz,0.5666666666666667,0.5666666666666667,0.011908097192645073,0.014070047996938229,0.39296719431877136,0.4643115699291229,0.015060100704431534,0.01603655144572258,two_hand
VSL,5000 (năm nghìn),D0549T.npz,dataset\VSL\5000 (năm nghìn)\D0549T.npz,0.6031746031746031,0.6031746031746031,0.01256632525473833,0.012108846567571163,0.46495404839515686,0.4480273127555847,0.01511374395340681,0.015555544756352901,two_hand
VSL,6,D0535B.npz,dataset\VSL\6\D0535B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,6,D0535N.npz,dataset\VSL\6\D0535N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,6,D0535T.npz,dataset\VSL\6\D0535T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,7,D0536.npz,dataset\VSL\7\D0536.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,7up,D0408.npz,dataset\VSL\7up\D0408.npz,1.0,1.0,0.0023948142770677805,0.00510819535702467,0.2658243775367737,0.567009687423706,0.0019640913233160973,0.004081212915480137,two_hand
VSL,8,D0537.npz,dataset\VSL\8\D0537.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,80,D0545.npz,dataset\VSL\80\D0545.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,9,D0538.npz,dataset\VSL\9\D0538.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,90,D0546N.npz,dataset\VSL\90\D0546N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,a,D0489.npz,dataset\VSL\a\D0489.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,ai,W00004B.npz,dataset\VSL\ai\W00004B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,ai,W00004N.npz,dataset\VSL\ai\W00004N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,ai,W00004T.npz,dataset\VSL\ai\W00004T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,ai bảo,W04071.npz,dataset\VSL\ai bảo\W04071.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,ai cho,D0032.npz,dataset\VSL\ai cho\D0032.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,Albania (nước Albania),D0012.npz,dataset\VSL\Albania (nước Albania)\D0012.npz,0.7362637362637363,0.7362637362637363,0.00903500709682703,0.011487981304526329,0.5963104963302612,0.7582067847251892,0.008082550950348377,0.007961268536746502,two_hand
VSL,An Giang,W00006.npz,dataset\VSL\An Giang\W00006.npz,0.7446808510638298,0.7446808510638298,0.007542052306234837,0.010639863088726997,0.5204015970230103,0.7341505289077759,0.018366919830441475,0.02138870768249035,two_hand
VSL,an ninh,W00007.npz,dataset\VSL\an ninh\W00007.npz,0.7545454545454545,0.7545454545454545,0.004880385939031839,0.00828794576227665,0.40019166469573975,0.6796115636825562,0.010873439721763134,0.014026686549186707,two_hand
VSL,Anh (nước Anh),W00009B.npz,dataset\VSL\Anh (nước Anh)\W00009B.npz,0.7764705882352941,0.7764705882352941,0.0026859152130782604,0.0050540645606815815,0.1745844930410385,0.3285141885280609,0.0012162734055891633,0.005159119609743357,two_hand
VSL,Anh (nước Anh),W00009N.npz,dataset\VSL\Anh (nước Anh)\W00009N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,Anh (nước Anh),W00009T.npz,dataset\VSL\Anh (nước Anh)\W00009T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh chị,W00010B.npz,dataset\VSL\anh chị\W00010B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh chị em,W00011.npz,dataset\VSL\anh chị em\W00011.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh dũng,W00012B.npz,dataset\VSL\anh dũng\W00012B.npz,0.8571428571428571,0.8571428571428571,0.0025377997662872076,0.003501917701214552,0.24109096825122833,0.33268219232559204,0.0029884339310228825,0.004718407057225704,two_hand
VSL,anh dũng,W00012N.npz,dataset\VSL\anh dũng\W00012N.npz,0.6753246753246753,0.6753246753246753,0.009913409128785133,0.018122052773833275,0.5055838823318481,0.9242246747016907,0.008913381025195122,0.016812549903988838,two_hand
VSL,anh dũng,W00012T.npz,dataset\VSL\anh dũng\W00012T.npz,0.6883116883116883,0.6883116883116883,0.01245082076638937,0.020665397867560387,0.6474426984786987,1.0746006965637207,0.017168495804071426,0.016585705801844597,two_hand
VSL,anh em,W00013B.npz,dataset\VSL\anh em\W00013B.npz,0.7062937062937062,0.7062937062937062,0.0036895356606692076,0.006551900412887335,0.36895355582237244,0.6551900506019592,0.006703764665871859,0.008649847470223904,two_hand
VSL,anh em,W00013N.npz,dataset\VSL\anh em\W00013N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh em,W00013T.npz,dataset\VSL\anh em\W00013T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,"anh hai, anh cả",D0143B.npz,"dataset\VSL\anh hai, anh cả\D0143B.npz",1.0,1.0,0.0013842358021065593,0.004923454951494932,0.09412803500890732,0.33479493856430054,0.0006300476379692554,0.003385772928595543,right_one_hand
VSL,"anh hai, anh cả",D0143N.npz,"dataset\VSL\anh hai, anh cả\D0143N.npz",1.0,1.0,0.001288732746616006,0.003989071119576693,0.08634509146213531,0.26726776361465454,0.0006458489806391299,0.002545478753745556,right_one_hand
VSL,"anh hai, anh cả",D0143T.npz,"dataset\VSL\anh hai, anh cả\D0143T.npz",1.0,1.0,0.001250251429155469,0.0038437931798398495,0.08376684784889221,0.2575341463088989,0.0005636911373585463,0.002770371735095978,right_one_hand
VSL,anh hùng,W00015.npz,dataset\VSL\anh hùng\W00015.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh họ,W00014N.npz,dataset\VSL\anh họ\W00014N.npz,0.6352941176470588,0.6352941176470588,0.01329643651843071,0.013862079940736294,0.7047111392021179,0.734690248966217,0.011666668578982353,0.010649538598954678,two_hand
VSL,anh họ,W00014T.npz,dataset\VSL\anh họ\W00014T.npz,0.6436781609195402,0.6436781609195402,0.013376190327107906,0.015673335641622543,0.7356904745101929,0.8620334267616272,0.01475278940051794,0.014019671827554703,two_hand
VSL,anh ruột,W00019B.npz,dataset\VSL\anh ruột\W00019B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh ruột,W00019N.npz,dataset\VSL\anh ruột\W00019N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh ruột,W00019T.npz,dataset\VSL\anh ruột\W00019T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh rể,W00018B.npz,dataset\VSL\anh rể\W00018B.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh rể,W00018N.npz,dataset\VSL\anh rể\W00018N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh rể,W00018T.npz,dataset\VSL\anh rể\W00018T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,anh vợ,W00020.npz,dataset\VSL\anh vợ\W00020.npz,0.4036697247706422,0.4036697247706422,0.010852943174540997,0.014455942437052727,0.4666765630245209,0.6216055154800415,0.008498378098011017,0.010369820520281792,two_hand
VSL,ao chuôm,W00026.npz,dataset\VSL\ao chuôm\W00026.npz,0.7252747252747253,0.7252747252747253,0.009564163163304329,0.014127367176115513,0.6216706037521362,0.9182788729667664,0.009519522078335285,0.012382317334413528,two_hand
VSL,b,D0492.npz,dataset\VSL\b\D0492.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,Ba chân bốn cẳng,W00065.npz,dataset\VSL\Ba chân bốn cẳng\W00065.npz,0.6444444444444445,0.6444444444444445,0.009623785503208637,0.010044700466096401,0.5485557913780212,0.5725479125976562,0.009679156355559826,0.010609080083668232,two_hand
VSL,ba là,D0148.npz,dataset\VSL\ba là\D0148.npz,0.9882352941176471,0.9882352941176471,0.006819252390414476,0.010844849981367588,0.5659979581832886,0.9001225829124451,0.0110615910962224,0.010965459048748016,two_hand
VSL,ban giám hiệu,W00087.npz,dataset\VSL\ban giám hiệu\W00087.npz,0.7252747252747253,0.7252747252747253,0.011250282637774944,0.015486577525734901,0.7312683463096619,1.0066275596618652,0.019591953605413437,0.022137362509965897,two_hand
VSL,ban ngày,W00089.npz,dataset\VSL\ban ngày\W00089.npz,0.8924731182795699,0.8924731182795699,0.00665846886113286,0.009201948530972004,0.5459944605827332,0.7545597553253174,0.011548303067684174,0.012695121578872204,two_hand
VSL,ban đêm,W00086B.npz,dataset\VSL\ban đêm\W00086B.npz,0.8230088495575221,0.8230088495575221,0.007573339156806469,0.012817206792533398,0.6967471837997437,1.179183006286621,0.009740960784256458,0.014886249788105488,two_hand
VSL,ban đêm,W00086N.npz,dataset\VSL\ban đêm\W00086N.npz,0.7222222222222222,0.7222222222222222,0.010106369853019714,0.010324619710445404,0.6468076705932617,0.6607756614685059,0.011255653575062752,0.009296135045588017,two_hand
VSL,ban đêm,W00086T.npz,dataset\VSL\ban đêm\W00086T.npz,0.7222222222222222,0.7222222222222222,0.010654887184500694,0.012286185286939144,0.6819127798080444,0.7863158583641052,0.015890439972281456,0.015430403873324394,two_hand
VSL,bao giờ_,W00145B.npz,dataset\VSL\bao giờ_\W00145B.npz,0.9230769230769231,0.9230769230769231,0.0036665371153503656,0.00893544964492321,0.3923194706439972,0.9560930728912354,0.002392890863120556,0.006041236221790314,two_hand
VSL,bao giờ_,W00145N.npz,dataset\VSL\bao giờ_\W00145N.npz,0.6923076923076923,0.6923076923076923,0.009093383327126503,0.013662859797477722,0.4819492995738983,0.7241315841674805,0.009022312238812447,0.010613346472382545,two_hand
VSL,bao giờ_,W00145T.npz,dataset\VSL\bao giờ_\W00145T.npz,0.811965811965812,0.811965811965812,0.00369198783300817,0.00971310120075941,0.3470468521118164,0.9130315184593201,0.0020784076768904924,0.006206305231899023,two_hand
VSL,bao la,W00146.npz,dataset\VSL\bao la\W00146.npz,0.7647058823529411,0.7647058823529411,0.00746013643220067,0.01143780816346407,0.6714122891426086,1.029402732849121,0.010470626875758171,0.012443207204341888,two_hand
VSL,bao nhiêu_,W00147.npz,dataset\VSL\bao nhiêu_\W00147.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,bao tay (dùng cho trẻ sơ sinh),W00150.npz,dataset\VSL\bao tay (dùng cho trẻ sơ sinh)\W00150.npz,0.7857142857142857,0.7857142857142857,0.007018260657787323,0.00951319094747305,0.6105886697769165,0.8276476263999939,0.011443386785686016,0.011569888330996037,two_hand
VSL,bay,W00174.npz,dataset\VSL\bay\W00174.npz,0.7241379310344828,0.7241379310344828,0.01814660243690014,0.025630732998251915,1.125089406967163,1.589105486869812,0.011280196718871593,0.016076769679784775,two_hand
VSL,bay liệng (bay lượn),W00176.npz,dataset\VSL\bay liệng (bay lượn)\W00176.npz,0.7906976744186046,0.7906976744186046,0.044742971658706665,0.05470724403858185,4.519040107727051,5.5254316329956055,0.05895247682929039,0.07178850471973419,two_hand
VSL,bay nhanh (máy bay),D0177.npz,dataset\VSL\bay nhanh (máy bay)\D0177.npz,1.0,1.0,0.0026007057167589664,0.007145782466977835,0.21065716445446014,0.5788083672523499,0.0018426793394610286,0.003724952694028616,two_hand
VSL,biến đổi,W00262N.npz,dataset\VSL\biến đổi\W00262N.npz,0.65,0.65,0.014926913194358349,0.020468520000576973,0.7612725496292114,1.0438945293426514,0.009652706794440746,0.011246292851865292,two_hand
VSL,biển hiệu,W00261.npz,dataset\VSL\biển hiệu\W00261.npz,0.7,0.7,0.009926222264766693,0.015693912282586098,0.5459422469139099,0.8631651997566223,0.01105718594044447,0.01699143834412098,two_hand
VSL,biển đông,W00260.npz,dataset\VSL\biển đông\W00260.npz,0.7528089887640449,0.7528089887640449,0.00940464437007904,0.013834119774401188,0.6207065582275391,0.9130519032478333,0.01390477642416954,0.015551709569990635,two_hand
VSL,biểu thị,W00270.npz,dataset\VSL\biểu thị\W00270.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,biểu thức,W00271.npz,dataset\VSL\biểu thức\W00271.npz,0.639344262295082,0.639344262295082,0.011999535374343395,0.015297873876988888,0.45598235726356506,0.5813192129135132,0.015693042427301407,0.0165304746478796,two_hand
VSL,biểu đồ,W00265.npz,dataset\VSL\biểu đồ\W00265.npz,0.6835443037974683,0.6835443037974683,0.007280571386218071,0.008248886093497276,0.3858702778816223,0.437190979719162,0.010482870042324066,0.011056303977966309,two_hand
VSL,biểu đồ cột,W00266.npz,dataset\VSL\biểu đồ cột\W00266.npz,0.7073170731707317,0.7073170731707317,0.010015507228672504,0.011531784199178219,0.5708839297294617,0.6573116779327393,0.019388459622859955,0.019898761063814163,two_hand
VSL,biểu đồ hình quạt,W00267.npz,dataset\VSL\biểu đồ hình quạt\W00267.npz,0.7123287671232876,0.7123287671232876,0.01005825586616993,0.015135370194911957,0.512971043586731,0.7719038724899292,0.011299717240035534,0.014882744289934635,two_hand
VSL,biện pháp,W00263.npz,dataset\VSL\biện pháp\W00263.npz,0.6571428571428571,0.6571428571428571,0.020876048132777214,0.03348023444414139,0.9394221305847168,1.5066105127334595,0.02903738245368004,0.04158712178468704,two_hand
VSL,bom nguyên tử,W00303.npz,dataset\VSL\bom nguyên tử\W00303.npz,0.7402597402597403,0.7402597402597403,0.015366213396191597,0.02815643511712551,0.8605079650878906,1.5767604112625122,0.017295479774475098,0.02749098837375641,two_hand
VSL,bom đạn,W00302.npz,dataset\VSL\bom đạn\W00302.npz,0.5833333333333334,0.5833333333333334,0.013378835283219814,0.016879640519618988,0.548532247543335,0.6920652389526367,0.019534695893526077,0.02245647832751274,two_hand
VSL,boong tàu,W00312.npz,dataset\VSL\boong tàu\W00312.npz,0.7126436781609196,0.7126436781609196,0.005819171667098999,0.008039537817239761,0.35496947169303894,0.49041181802749634,0.006860225927084684,0.008385080844163895,two_hand
VSL,Bra-xin (nước Bra-xin),W00355B.npz,dataset\VSL\Bra-xin (nước Bra-xin)\W00355B.npz,0.5542168674698795,0.5542168674698795,0.007531578652560711,0.012938115745782852,0.33892104029655457,0.5822151899337769,0.0055346800945699215,0.006170886568725109,two_hand
VSL,Bra-xin (nước Bra-xin),W00355N.npz,dataset\VSL\Bra-xin (nước Bra-xin)\W00355N.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,Bra-xin (nước Bra-xin),W00355T.npz,dataset\VSL\Bra-xin (nước Bra-xin)\W00355T.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,Bru-nây (nước Bru-nây),W00356B.npz,dataset\VSL\Bru-nây (nước Bru-nây)\W00356B.npz,0.9147286821705426,0.9147286821705426,0.0062735360115766525,0.010352222248911858,0.7340037226676941,1.211210012435913,0.012263094075024128,0.014601066708564758,two_hand
VSL,Bru-nây (nước Bru-nây),W00356N.npz,dataset\VSL\Bru-nây (nước Bru-nây)\W00356N.npz,0.8579881656804734,0.8579881656804734,0.007829909212887287,0.010002786293625832,1.127506971359253,1.4404011964797974,0.013091209344565868,0.01568068005144596,two_hand
VSL,Bru-nây (nước Bru-nây),W00356T.npz,dataset\VSL\Bru-nây (nước Bru-nây)\W00356T.npz,0.8622754491017964,0.8622754491017964,0.007775916252285242,0.009910888969898224,1.111956000328064,1.4172570705413818,0.013073228299617767,0.016039183363318443,two_hand
VSL,Bun-ga-ri (nước Bun-ga-ri),W00360.npz,dataset\VSL\Bun-ga-ri (nước Bun-ga-ri)\W00360.npz,0.7246376811594203,0.7246376811594203,0.011318853124976158,0.015717655420303345,0.5546237826347351,0.7701650857925415,0.01084529235959053,0.014185483567416668,two_hand
VSL,buôn làng,W00371.npz,dataset\VSL\buôn làng\W00371.npz,0.75,0.75,0.010028600692749023,0.011616821400821209,0.5916874408721924,0.685392439365387,0.014062408357858658,0.01441140566021204,two_hand
VSL,buông màn,W00374B.npz,dataset\VSL\buông màn\W00374B.npz,0.7358490566037735,0.7358490566037735,0.007960758171975613,0.011724410578608513,0.6129783987998962,0.9027796387672424,0.010611757636070251,0.013425360433757305,two_hand
VSL,buông màn,W00374N.npz,dataset\VSL\buông màn\W00374N.npz,0.7473684210526316,0.7473684210526316,0.010168501175940037,0.014706848189234734,0.7117950916290283,1.0294793844223022,0.011010793969035149,0.01654525101184845,two_hand
VSL,buông màn,W00374T.npz,dataset\VSL\buông màn\W00374T.npz,0.8611111111111112,0.8611111111111112,0.005317521747201681,0.010150710120797157,0.6540551781654358,1.248537302017212,0.007087739650160074,0.010945995338261127,two_hand
VSL,buồn nôn,W00372.npz,dataset\VSL\buồn nôn\W00372.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,buồn thảm,D0064.npz,dataset\VSL\buồn thảm\D0064.npz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low_hand_activity
VSL,buồng trứng,W00377.npz,dataset\VSL\buồng trứng\W00377.npz,0.8538461538461538,0.8538461538461538,0.008391471579670906,0.014407665468752384,0.9230619072914124,1.5848431587219238,0.009378908202052116,0.012884359806776047,two_hand
VSL,buổi chiều,W00366.npz,dataset\VSL\buổi chiều\W00366.npz,0.6233766233766234,0.6233766233766234,0.012039633467793465,0.017499344423413277,0.565862774848938,0.822469174861908,0.02874181419610977,0.035397689789533615,two_hand
VSL,buổi sáng,W00368B.npz,dataset\VSL\buổi sáng\W00368B.npz,0.8839285714285714,0.8839285714285714,0.006222634110599756,0.01095836516469717,0.609818160533905,1.0739197731018066,0.005229246336966753,0.009089267812669277,two_hand
VSL,buổi sáng,W00368N.npz,dataset\VSL\buổi sáng\W00368N.npz,0.7191011235955056,0.7191011235955056,0.009740113280713558,0.011711069382727146,0.6136271357536316,0.7377973794937134,0.00772442389279604,0.008149386383593082,two_hand
VSL,buổi sáng,W00368T.npz,dataset\VSL\buổi sáng\W00368T.npz,0.7303370786516854,0.7303370786516854,0.01143336296081543,0.013162353076040745,0.7317352294921875,0.8423905968666077,0.01460648700594902,0.012921260669827461,two_hand
VSL,buổi trưa,W00370B.npz,dataset\VSL\buổi trưa\W00370B.npz,0.6851851851851852,0.6851851851851852,0.005288360174745321,0.009210716001689434,0.386050283908844,0.6723822951316833,0.004185046534985304,0.007017188239842653,two_hand
