dataset,label,sample_id_a,sample_id_b,dtw_distance
ASL,a,01610,01612,0.5339699387550354
ASL,a,01610,01615,0.3677787184715271
ASL,a,01610,66039,0.2978786528110504
ASL,a,01612,01615,0.7806236147880554
ASL,a,01612,66039,0.6017802953720093
ASL,a,01615,66039,0.29807236790657043
ASL,a lot,02124,02125,0.5242926478385925
ASL,a lot,02124,02126,0.6049367189407349
ASL,a lot,02124,02128,0.41091620922088623
ASL,a lot,02124,02129,0.35963237285614014
ASL,a lot,02124,02130,0.46357986330986023
ASL,a lot,02124,02131,0.7002003788948059
ASL,a lot,02125,02126,0.48736199736595154
ASL,a lot,02125,02128,0.5034068822860718
ASL,a lot,02125,02129,0.5067155361175537
ASL,a lot,02125,02130,0.6847671866416931
ASL,a lot,02125,02131,0.5646274089813232
ASL,a lot,02126,02128,0.36793053150177
ASL,a lot,02126,02129,0.4565759003162384
ASL,a lot,02126,02130,0.517989456653595
ASL,a lot,02126,02131,0.586643636226654
ASL,a lot,02128,02129,0.2937556505203247
ASL,a lot,02128,02130,0.3612547516822815
ASL,a lot,02128,02131,0.6008382439613342
ASL,a lot,02129,02130,0.3224664628505707
ASL,a lot,02129,02131,0.6599940657615662
ASL,a lot,02130,02131,0.8011636734008789
ASL,abdomen,00335,00336,0.26665225625038147
ASL,abdomen,00335,00338,1.2364437580108643
ASL,abdomen,00335,00339,1.075767159461975
ASL,abdomen,00335,00341,0.5227387547492981
ASL,abdomen,00336,00338,1.0913774967193604
ASL,abdomen,00336,00339,0.9314579367637634
ASL,abdomen,00336,00341,0.36406001448631287
ASL,abdomen,00338,00339,0.15910302102565765
ASL,abdomen,00338,00341,0.7500296235084534
ASL,abdomen,00339,00341,0.5929915308952332
ASL,able,00376,00377,0.3985265791416168
ASL,able,00376,00381,0.3772287666797638
ASL,able,00376,00382,0.34034886956214905
ASL,able,00376,00384,0.5597747564315796
ASL,able,00377,00381,0.3727947175502777
ASL,able,00377,00382,0.4014458656311035
ASL,able,00377,00384,0.319730669260025
ASL,able,00381,00382,0.23952852189540863
ASL,able,00381,00384,0.4785226583480835
ASL,able,00382,00384,0.4607488512992859
ASL,about,00414,00415,0.4650709331035614
ASL,about,00414,00416,0.40233108401298523
ASL,about,00414,00421,0.6119498610496521
ASL,about,00414,00426,0.48941993713378906
ASL,about,00414,65002,0.6417005062103271
ASL,about,00414,65003,0.6390365958213806
ASL,about,00415,00416,0.47150918841362
ASL,about,00415,00421,0.6642101407051086
ASL,about,00415,00426,0.4569171369075775
ASL,about,00415,65002,0.6668793559074402
ASL,about,00415,65003,0.7117010951042175
ASL,about,00416,00421,0.4495238661766052
ASL,about,00416,00426,0.5889398455619812
ASL,about,00416,65002,0.5145593881607056
ASL,about,00416,65003,0.5527415871620178
ASL,about,00421,00426,0.6810767650604248
ASL,about,00421,65002,0.3355928361415863
ASL,about,00421,65003,0.39354175329208374
ASL,about,00426,65002,0.5951924920082092
ASL,about,00426,65003,0.6112344861030579
ASL,about,65002,65003,0.2358805388212204
ASL,above,00430,00431,0.5782765746116638
ASL,above,00430,00433,0.7407829761505127
ASL,above,00430,00435,0.6291345953941345
ASL,above,00430,65004,0.6580695509910583
ASL,above,00431,00433,0.936767578125
ASL,above,00431,00435,0.619784951210022
ASL,above,00431,65004,0.999268114566803
ASL,above,00433,00435,1.1375187635421753
ASL,above,00433,65004,0.45885780453681946
ASL,above,00435,65004,1.0984197854995728
ASL,accent,00583,00584,0.30321311950683594
ASL,accent,00583,00585,0.19950604438781738
ASL,accent,00583,00586,0.34273383021354675
ASL,accent,00583,65006,0.6683185696601868
ASL,accent,00584,00585,0.26868754625320435
ASL,accent,00584,00586,0.38550180196762085
ASL,accent,00584,65006,0.7922645211219788
ASL,accent,00585,00586,0.22954832017421722
ASL,accent,00585,65006,0.5778295993804932
ASL,accent,00586,65006,0.49001601338386536
ASL,accept,00592,00593,0.572200357913971
ASL,accept,00592,00594,0.5800169706344604
ASL,accept,00592,00597,0.5230510234832764
ASL,accept,00592,00599,1.2144039869308472
ASL,accept,00592,00600,0.7860918045043945
ASL,accept,00592,00603,0.6047351956367493
ASL,accept,00592,65007,0.7058045864105225
ASL,accept,00593,00594,0.5834453701972961
ASL,accept,00593,00597,0.5311649441719055
ASL,accept,00593,00599,1.0310673713684082
ASL,accept,00593,00600,0.6753705739974976
ASL,accept,00593,00603,0.5600674152374268
ASL,accept,00593,65007,0.527594268321991
ASL,accept,00594,00597,0.863154947757721
ASL,accept,00594,00599,1.4163954257965088
ASL,accept,00594,00600,1.0460877418518066
ASL,accept,00594,00603,0.873828649520874
ASL,accept,00594,65007,0.8683551549911499
ASL,accept,00597,00599,0.7496041655540466
ASL,accept,00597,00600,0.33099836111068726
ASL,accept,00597,00603,0.3168739974498749
ASL,accept,00597,65007,0.4021645486354828
ASL,accept,00599,00600,0.594607949256897
ASL,accept,00599,00603,0.7920204997062683
ASL,accept,00599,65007,0.6740282773971558
ASL,accept,00600,00603,0.43087509274482727
ASL,accept,00600,65007,0.4255848228931427
ASL,accept,00603,65007,0.32694166898727417
ASL,accident,00623,00624,1.107391119003296
ASL,accident,00623,00625,0.8656854033470154
ASL,accident,00623,00626,1.2278977632522583
ASL,accident,00623,00627,0.7754326462745667
ASL,accident,00623,00628,0.7703951597213745
