dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,skunk,5,10,1.9268171310424804,0.8664937596826667,0.9096022844314575,3.6816470623016357,1.5755754709243774
ASL,comb,6,15,1.655381162961324,0.9585437978410055,0.25549063086509705,2.751917839050293,2.3092634677886963
ASL,cabbage,4,6,1.6014851331710815,0.40053104930771516,1.0319721698760986,2.1371076107025146,1.622776746749878
ASL,bald,7,21,1.5941359798113506,0.594979766981148,0.6241166591644287,2.6361312866210938,1.7623107433319092
ASL,shoulder,4,6,1.5765263438224792,0.7420117262377712,0.5499833822250366,2.5245985984802246,1.5301312804222107
ASL,lettuce,7,21,1.5517724269912356,0.6587553281958133,0.47640734910964966,2.6088244915008545,1.6395151615142822
ASL,idea,8,28,1.5398732551506586,0.7704156046683183,0.4385264217853546,2.8162922859191895,1.5746665596961975
ASL,common sense,5,10,1.5305834025144578,0.8865861662949857,0.3757134974002838,3.0459694862365723,1.3055050373077393
ASL,tornado,5,10,1.5268095493316651,0.5913511940068977,0.366485059261322,2.280334949493408,1.5658649802207947
ASL,consume,4,6,1.5235051115353901,0.903780768362038,0.34888696670532227,2.6679651737213135,1.5654036700725555
ASL,presentation,8,28,1.516760301377092,0.6968008149264967,0.44755789637565613,3.0044326782226562,1.3037155270576477
ASL,downstairs,4,6,1.5027453303337097,0.6593657759842638,0.4201369285583496,2.2196743488311768,1.548351526260376
ASL,shampoo,5,10,1.4981413066387177,0.39370725255018185,0.8968011736869812,2.0124592781066895,1.6180497407913208
ASL,rooster,5,10,1.4882163047790526,0.6113219613807307,0.554925262928009,2.5981390476226807,1.4841533303260803
ASL,father,7,21,1.4818289237362998,0.7728180524723954,0.42365315556526184,2.6842727661132812,1.3463551998138428
ASL,lamp,2,1,1.4805594682693481,0.0,1.4805594682693481,1.4805594682693481,1.4805594682693481
