dataset,label,num_samples,prototype_index
ASL,a,4,0
ASL,a lot,7,1
ASL,abdomen,5,2
ASL,able,5,3
ASL,about,7,4
ASL,above,5,5
ASL,accent,5,6
ASL,accept,8,7
ASL,accident,13,8
ASL,accomplish,5,9
ASL,accountant,5,10
ASL,across,6,11
ASL,act,5,12
ASL,action,6,13
ASL,active,5,14
ASL,activity,5,15
ASL,actor,6,16
ASL,adapt,6,17
ASL,add,9,18
ASL,address,4,19
ASL,adjective,4,20
ASL,adjust,4,21
ASL,admire,5,22
ASL,admit,5,23
ASL,adopt,6,24
ASL,adult,7,25
ASL,advanced,4,26
ASL,advantage,4,27
ASL,adverb,4,28
ASL,affect,6,29
ASL,afraid,5,30
ASL,africa,9,31
ASL,after,7,32
ASL,afternoon,7,33
ASL,again,8,34
ASL,against,5,35
ASL,age,7,36
ASL,agenda,4,37
ASL,ago,9,38
ASL,agree,5,39
ASL,agreement,6,40
ASL,ahead,4,41
ASL,aid,5,42
ASL,aim,5,43
ASL,airplane,7,44
ASL,alarm,5,45
ASL,alcohol,4,46
ASL,algebra,5,47
ASL,all,8,48
ASL,all day,5,49
ASL,allergy,8,50
ASL,alligator,5,51
ASL,allow,8,52
ASL,almost,5,53
ASL,alone,9,54
ASL,alphabet,4,55
ASL,already,8,56
ASL,also,7,57
ASL,always,7,58
ASL,amazing,5,59
ASL,america,6,60
ASL,amputate,5,61
ASL,analyze,8,62
ASL,anatomy,4,63
ASL,and,5,64
ASL,angel,7,65
ASL,angle,6,66
ASL,angry,7,67
ASL,animal,9,68
ASL,anniversary,5,69
ASL,announce,5,70
ASL,annoy,4,71
ASL,another,5,72
ASL,answer,7,73
ASL,any,5,74
ASL,anyway,4,75
ASL,apart,5,76
ASL,apartment,6,77
ASL,apostrophe,6,78
ASL,appear,7,79
ASL,appetite,5,80
ASL,apple,11,81
ASL,appointment,10,82
ASL,appreciate,5,83
ASL,approach,5,84
ASL,appropriate,5,85
ASL,approve,8,86
ASL,april,5,87
ASL,archery,5,88
ASL,area,7,89
ASL,argue,10,90
ASL,arizona,4,91
ASL,arm,7,92
ASL,army,5,93
ASL,around,5,94
ASL,arrest,6,95
ASL,arrive,8,96
ASL,arrogant,6,97
ASL,art,7,98
ASL,article,4,99
ASL,artist,5,100
ASL,asia,7,101
ASL,ask,7,102
ASL,asl,4,103
ASL,assist,5,104
ASL,assistant,5,105
ASL,assume,4,106
ASL,attend,5,107
ASL,attention,6,108
ASL,attitude,7,109
ASL,attorney,4,110
ASL,attract,6,111
ASL,auction,5,112
ASL,audience,6,113
ASL,audiologist,4,114
ASL,audiology,4,115
ASL,august,6,116
ASL,aunt,7,117
ASL,australia,9,118
ASL,austria,4,119
ASL,author,4,120
ASL,authority,5,121
ASL,autumn,7,122
ASL,available,4,123
ASL,average,5,124
ASL,avoid,7,125
ASL,awake,5,126
ASL,award,3,127
ASL,aware,4,128
ASL,away,6,129
ASL,awful,8,130
ASL,awkward,7,131
ASL,b,4,132
ASL,baby,9,133
ASL,babysitter,4,134
ASL,back,7,135
ASL,background,5,136
ASL,backpack,8,137
ASL,bacon,7,138
ASL,bad,10,139
ASL,bake,7,140
ASL,balance,10,141
ASL,bald,7,142
ASL,ball,9,143
ASL,balloon,9,144
ASL,banana,9,145
ASL,bank,3,146
ASL,baptize,5,147
ASL,bar,11,148
ASL,barely,9,149
ASL,bark,8,150
ASL,baseball,6,151
ASL,basement,6,152
ASL,basic,4,153
ASL,basketball,12,154
ASL,bath,7,155
ASL,bathroom,7,156
ASL,battery,3,157
ASL,battle,4,158
ASL,bear,7,159
ASL,beard,9,160
ASL,beautiful,7,161
ASL,because,10,162
ASL,become,5,163
ASL,bed,13,164
ASL,bedroom,6,165
ASL,bee,6,166
ASL,beer,8,167
ASL,before,16,168
ASL,beg,5,169
ASL,beginning,7,170
ASL,behavior,5,171
ASL,behind,5,172
ASL,belief,7,173
ASL,believe,7,174
ASL,bell,6,175
ASL,below,6,176
ASL,belt,7,177
ASL,benefit,7,178
ASL,berry,5,179
ASL,beside,5,180
ASL,best,5,181
ASL,bet,6,182
ASL,better,5,183
ASL,between,6,184
ASL,bible,4,185
ASL,bicycle,6,186
ASL,big,9,187
ASL,bike,4,188
ASL,binoculars,4,189
ASL,biology,6,190
ASL,bird,10,191
ASL,birth,6,192
ASL,birthday,6,193
ASL,bite,6,194
ASL,bitter,8,195
ASL,black,10,196
ASL,blame,6,197
ASL,blanket,10,198
ASL,blend,5,199
ASL,bless,6,200
ASL,blind,8,201
ASL,blood,5,202
ASL,blow,5,203
ASL,blue,8,204
ASL,boast,4,205
ASL,boat,8,206
ASL,body,6,207
ASL,boil,4,208
ASL,bone,4,209
ASL,book,6,210
ASL,bookshelf,3,211
ASL,bookstore,4,212
ASL,boots,3,213
ASL,bored,7,214
ASL,borrow,6,215
ASL,boss,7,216
ASL,both,6,217
ASL,bother,8,218
ASL,bottle,7,219
ASL,bottom,8,220
ASL,bowl,6,221
ASL,bowling,13,222
ASL,box,7,223
ASL,boxing,4,224
ASL,boy,8,225
ASL,boyfriend,5,226
ASL,bra,4,227
ASL,bracelet,7,228
ASL,brag,6,229
ASL,braid,4,230
ASL,brain,4,231
ASL,brave,5,232
ASL,bread,7,233
ASL,break,5,234
ASL,breakdown,4,235
ASL,breakfast,5,236
ASL,breathe,6,237
ASL,breeze,4,238
ASL,bribe,3,239
ASL,bridge,4,240
ASL,brief,5,241
ASL,bright,6,242
ASL,bring,8,243
ASL,brochure,4,244
ASL,broke,5,245
ASL,brother,11,246
ASL,brown,8,247
ASL,brush,7,248
ASL,buffalo,5,249
ASL,bug,4,250
ASL,build,6,251
ASL,building,6,252
ASL,bull,5,253
ASL,bully,6,254
ASL,burp,4,255
ASL,bus,5,256
ASL,bush,6,257
ASL,business,7,258
ASL,busy,5,259
ASL,but,7,260
ASL,butter,6,261
ASL,butterfly,5,262
ASL,button,5,263
ASL,buy,9,264
ASL,bye,5,265
ASL,cabbage,4,266
ASL,cabinet,5,267
ASL,cafeteria,8,268
ASL,cake,8,269
ASL,calculate,7,270
ASL,calculator,5,271
ASL,calculus,5,272
ASL,california,9,273
ASL,call,12,274
ASL,calm,7,275
ASL,camel,4,276
ASL,camera,5,277
ASL,camp,5,278
ASL,camping,5,279
ASL,can,9,280
ASL,canada,7,281
ASL,cancel,8,282
ASL,candidate,5,283
ASL,candle,6,284
ASL,candy,13,285
ASL,cannot,6,286
ASL,canoe,4,287
ASL,captain,3,288
ASL,caption,7,289
ASL,car,7,290
ASL,card,8,291
