dataset,file,key,shape,dtype
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,label,(),<U4
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,video_name,(),<U9
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,target_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,source_fps,(),float32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,source_total_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,sample_indices,"(92,)",int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,train_feature_dim,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,pose,"(92, 330)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,hands,"(92, 252)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,face,"(92, 52)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,mouth,"(92, 36)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32535.npz,valid_mask,"(92, 4)",uint8
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,label,(),<U4
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,video_name,(),<U9
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,target_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,source_fps,(),float32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,source_total_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,sample_indices,"(60,)",int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,train_feature_dim,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,pose,"(60, 330)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,hands,"(60, 252)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,face,"(60, 52)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,mouth,"(60, 36)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32537.npz,valid_mask,"(60, 4)",uint8
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,label,(),<U4
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,video_name,(),<U9
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,target_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,source_fps,(),float32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,source_total_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,sample_indices,"(60,)",int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,train_feature_dim,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,pose,"(60, 330)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,hands,"(60, 252)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,face,"(60, 52)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,mouth,"(60, 36)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32538.npz,valid_mask,"(60, 4)",uint8
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,label,(),<U4
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,video_name,(),<U9
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,target_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,source_fps,(),float32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,source_total_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,sample_indices,"(86,)",int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,train_feature_dim,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,pose,"(86, 330)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,hands,"(86, 252)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,face,"(86, 52)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,mouth,"(86, 36)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32539.npz,valid_mask,"(86, 4)",uint8
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,label,(),<U4
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,video_name,(),<U9
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,target_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,source_fps,(),float32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,source_total_frames,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,sample_indices,"(60,)",int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,train_feature_dim,(),int32
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,pose,"(60, 330)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,hands,"(60, 252)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,face,"(60, 52)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,mouth,"(60, 36)",float16
ASL,/content/drive/MyDrive/data/6_asl/ASL/lead/32541.npz,valid_mask,"(60, 4)",uint8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,label,(),<U12
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,video_name,(),<U10
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,target_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,source_fps,(),float32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,source_total_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,sample_indices,"(105,)",int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,train_feature_dim,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,pose,"(105, 330)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,hands,"(105, 252)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,face,"(105, 52)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,mouth,"(105, 36)",float16
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời lặn/W02222.npz,valid_mask,"(105, 4)",uint8
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,label,(),<U12
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,video_name,(),<U10
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,target_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,source_fps,(),float32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,source_total_frames,(),int32
VSL,/content/drive/MyDrive/data/6_vsl/VSL/Mặt trời mọc/W02219.npz,sample_indices,"(98,)",int32
