VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
sách,book,0.002897148583214581,0.5014485742916073,1,6,movement (69.1%); handshape (27.7%); orientation (3.2%)
đồ uống,drink,0.00955348506764652,0.5047767425338232,1,15,handshape (50.2%); movement (46.1%); orientation (3.2%)
phòng máy tính,computer,-0.03137402967766192,0.48431298516116905,1,14,movement (54.1%); handshape (38.6%); orientation (7.3%)
bàn ghế,chair,0.21738757495321398,0.608693787476607,1,7,movement (49.0%); handshape (45.5%); orientation (5.5%)
đi,go,0.07267127646957199,0.536335638234786,1,15,movement (49.3%); handshape (45.7%); orientation (4.2%)
ai,who,0.7825246332242028,0.8912623166121014,3,14,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
kẹo,candy,-0.2135579045999792,0.39322104770001043,3,13,movement (62.8%); handshape (33.8%); orientation (3.1%)
giúp đỡ,help,-0.2657108650767218,0.3671445674616391,3,14,movement (61.6%); handshape (33.0%); orientation (5.4%)
không có,no,-0.47476356899378713,0.26261821550310643,1,11,movement (75.5%); handshape (20.7%); orientation (3.2%)
màu đen,black,0.24028302048324124,0.6201415102416206,1,10,movement (65.2%); handshape (27.8%); orientation (5.7%)
hoàn thành,finish,0.3872587944103685,0.6936293972051842,1,9,movement (64.4%); handshape (30.3%); orientation (5.3%)
màu cam,orange,-0.1072199410754355,0.44639002946228223,1,10,movement (48.0%); handshape (47.1%); orientation (4.3%)
bàn ghế,table,-0.41023541783770734,0.29488229108114633,1,5,handshape (66.0%); movement (26.3%); orientation (7.4%)
giường,bed,-0.05933212840664829,0.4703339357966759,1,13,handshape (62.8%); movement (30.0%); orientation (7.2%)
màu xanh da trời,blue,0.2856494388523891,0.6428247194261946,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
con chó,dog,-0.5618640112337424,0.2190679943831288,3,11,movement (71.3%); handshape (25.3%); orientation (3.4%)
con cá,fish,0.036579573809902705,0.5182897869049513,3,10,movement (74.4%); handshape (19.6%); orientation (5.9%)
mũ,hat,0.4695799747259049,0.7347899873629524,1,9,movement (47.1%); handshape (43.0%); orientation (9.9%)
nghe,hearing,0.6203934394655009,0.8101967197327504,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
hôn,kiss,0.42008118052269683,0.7100405902613485,1,9,movement (57.5%); handshape (35.2%); orientation (7.3%)
ngôn ngữ,language,0.1044819358120575,0.5522409679060287,1,10,handshape (55.8%); movement (39.1%); orientation (5.1%)
màu trắng,white,0.28176222605232215,0.6408811130261611,3,10,handshape (53.9%); movement (38.8%); orientation (6.7%)
quả táo,apple,0.059587473607864844,0.5297937368039324,2,11,handshape (50.6%); movement (41.0%); orientation (7.9%)
con chim,bird,-0.3769695912969448,0.3115152043515276,1,10,movement (68.6%); handshape (26.8%); orientation (4.2%)
biến đổi,change,0.6320910118532659,0.8160455059266329,1,12,movement (51.1%); handshape (38.3%); orientation (10.6%)
bắp ngô,corn,-0.05027536854773656,0.47486231572613175,3,12,handshape (56.2%); movement (37.7%); orientation (6.1%)
con bò,cow,0.12148228707083769,0.5607411435354188,3,9,movement (61.4%); handshape (36.0%); orientation (2.4%)
nhảy múa,dance,0.017068472795588055,0.508534236397794,1,7,handshape (63.9%); movement (31.4%); orientation (4.6%)
