VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
xe tải,truck,-0.7045941322386454,0.1477029338806773,1,6,movement (50.9%); handshape (43.9%); orientation (5.2%)
ngày sinh,birthday,-0.6005455292988515,0.19972723535057424,3,6,movement (53.0%); handshape (43.1%); orientation (3.9%)
phòng thư viện,library,-0.5982948849051427,0.20085255754742865,1,5,movement (49.7%); handshape (44.7%); orientation (5.6%)
quan trọng,important,-0.567722624106705,0.21613868794664748,1,8,movement (54.8%); handshape (39.4%); orientation (5.5%)
Mexico (nước Mexico),mexico,-0.5669567631267521,0.21652161843662393,3,6,movement (80.8%); handshape (16.8%); orientation (2.1%)
con chó,dog,-0.5618640112337424,0.2190679943831288,3,11,movement (71.3%); handshape (25.3%); orientation (3.4%)
con muỗi,mosquito,-0.5595832982451162,0.2202083508774419,3,4,handshape (55.5%); movement (37.9%); orientation (6.3%)
bức tranh,picture,-0.5512832998790581,0.22435835006047095,3,6,handshape (62.1%); movement (32.2%); orientation (5.6%)
chọn lựa,choose,-0.5502401955098822,0.22487990224505888,1,8,handshape (50.9%); movement (42.4%); orientation (6.3%)
giận dữ,angry,-0.49962768326817025,0.25018615836591485,1,7,movement (74.3%); handshape (19.8%); orientation (5.1%)
bánh hamburger,hamburger,-0.4883234233056388,0.2558382883471806,1,6,movement (63.0%); handshape (34.2%); orientation (2.7%)
không có,no,-0.47476356899378713,0.26261821550310643,1,11,movement (75.5%); handshape (20.7%); orientation (3.2%)
bánh mì,bread,-0.4744342879845922,0.2627828560077039,3,7,handshape (53.9%); movement (42.9%); orientation (3.3%)
công chúa,princess,-0.4688086904865118,0.26559565475674407,1,3,movement (65.6%); handshape (31.0%); orientation (2.9%)
chim đại bàng,eagle,-0.46010824937551653,0.26994587531224173,1,7,movement (54.8%); handshape (40.1%); orientation (2.8%)
con rắn,snake,-0.4564835103450151,0.27175824482749245,1,7,movement (51.9%); handshape (43.9%); orientation (4.2%)
thích thú,enjoy,-0.44524773359159064,0.2773761332042047,3,8,handshape (60.3%); movement (31.2%); orientation (6.1%)
địa chỉ,address,-0.4423303919069309,0.27883480404653455,3,4,handshape (58.7%); movement (35.4%); orientation (5.9%)
nhưng,but,-0.4378511338588399,0.28107443307058005,3,7,handshape (52.6%); movement (41.0%); orientation (6.4%)
bạn,friend,-0.429905395583989,0.2850473022080055,3,7,handshape (53.4%); movement (42.4%); orientation (4.2%)
