VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
cửa sổ,window,0.8566659256266634,0.9283329628133317,1,6,movement (55.9%); handshape (39.8%); orientation (4.3%)
i,i,0.830115382744264,0.915057691372132,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
mùa đông,winter,0.798704111325141,0.8993520556625705,1,6,handshape (50.1%); movement (45.8%); orientation (4.1%)
bụng,abdomen,0.7897662216433627,0.8948831108216814,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
ông ngoại,grandfather,0.7879861270834916,0.8939930635417458,3,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
ai,who,0.7825246332242028,0.8912623166121014,3,14,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
a,a,0.7798113022547181,0.8899056511273591,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên dưới,under,0.7572538157666625,0.8786269078833313,1,5,movement (61.4%); handshape (34.3%); orientation (4.3%)
Trung Quốc (nước Trung Quốc),china,0.754229827871595,0.8771149139357974,3,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
dao,knife,0.7518886659981989,0.8759443329990995,1,6,movement (66.1%); handshape (27.2%); orientation (6.7%)
d,d,0.7340503826515584,0.8670251913257792,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bàn chải đánh răng,toothbrush,0.7305923831454193,0.8652961915727096,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bánh pizza,pizza,0.7295980007363136,0.8647990003681568,1,12,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
ghen tị,jealous,0.7283917173564148,0.8641958586782075,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
đọc sách,read,0.7124663397220363,0.8562331698610182,1,6,movement (60.9%); handshape (32.4%); orientation (6.7%)
gặp gỡ,meet,0.7049194958803593,0.8524597479401796,1,9,handshape (48.0%); movement (46.2%); orientation (5.8%)
bỏng ngô,popcorn,0.7010227655449743,0.8505113827724872,1,4,movement (54.4%); handshape (40.9%); orientation (4.7%)
dễ thương,cute,0.6958235463720608,0.8479117731860304,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
bên dưới,below,0.6934705174706449,0.8467352587353225,1,6,movement (64.9%); handshape (32.4%); orientation (2.7%)
khát nước,thirsty,0.6899340001516365,0.8449670000758183,1,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
