dataset,gloss,num_samples,mean_total_motion,mean_velocity,motion_variance_mean,acceleration_mean,trajectory_length_mean,direction_change_mean,motion_complexity_score
VSL,đuôi,1.0,132.5417942404747,92.37854538407436,5.857681274414063,72.75206665765671,132.54179421067238,28.0,0.8061404
VSL,gà mái,1.0,144.27736008167267,27.896725123159342,0.6989614963531494,17.196932703840968,144.27735999040306,128.0,0.44113
VSL,cổ tích,1.0,123.43609022721648,28.677360576252603,1.1519614458084106,19.822460548145564,123.436090904288,130.0,0.41322055
VSL,tóc dựng đứng,1.0,90.03372117877007,35.50408641445009,2.0343456268310547,28.93662385940552,90.03372191544622,66.0,0.39439607
VSL,thuỷ thủ,1.0,83.08802236616611,38.30996887500469,2.1651265621185303,30.673259362578392,83.08802247792482,48.0,0.39112607
VSL,kêu gọi,1.0,100.63571899570525,30.160524409413338,1.955330848693848,17.182521637605163,100.63571831863374,93.0,0.3798263
VSL,dải phân cách,1.0,125.300962459296,23.91891576530068,0.4720872044563293,13.59268742684395,125.30096255242825,136.0,0.3751544
VSL,lốc xoáy,1.0,88.75171998143196,37.99841418947492,1.513503074645996,23.514887941056404,88.75171992182732,56.0,0.3685719
VSL,trí thức,1.0,131.1278479602188,17.08652833065261,0.4407338201999664,9.52056049493723,131.12784899852704,266.0,0.36596155
VSL,trú mưa,1.0,76.68865474313498,38.30598208109538,1.6524274349212646,32.05371258622509,76.68865462392569,52.0,0.3648961
VSL,tung tăng,1.0,93.53615379333496,34.18632270795543,1.0582659244537354,21.971238407087917,93.5361538711004,71.0,0.35622486
VSL,Mặt trời lặn,1.0,82.524080298841,30.915582758188247,1.6270949840545654,27.173768665217143,82.5240805502981,72.0,0.35301366
VSL,cây tre,1.0,113.31610643491148,21.910216948678418,0.6471032500267029,15.156728181963652,113.3161062656436,141.0,0.35234615
VSL,bơi lội,1.0,96.70665280520916,30.91518251419068,1.107599854469299,16.801154293426094,96.70665318146348,44.0,0.3470823
VSL,ở ngoài,3.0,74.92914087604731,13.74998647852562,0.3734913170337677,7.827005198323071,74.92914095408439,149.66666666666666,0.34349856
VSL,lơ lửng,1.0,74.99903678894043,37.46201814015706,1.2088050842285156,28.924034587407515,74.99903663620353,48.0,0.33958352
VSL,lưỡi câu,1.0,119.31445717066526,19.22502260791358,0.2053767442703247,10.657515886037244,119.3144575720653,133.0,0.33839616
VSL,con gián,1.0,74.55068503506482,33.34752199187208,1.5269527435302734,27.83679937774485,74.55068558827043,60.0,0.33762848
VSL,trùm chăn,1.0,67.37965365499258,34.226579492375,2.279969930648804,24.76020888213453,67.37965360097587,57.0,0.33691165
VSL,đám mây,1.0,82.56922594830394,35.86376310604206,1.076131820678711,22.652360656682184,82.56922581139952,60.0,0.33593658
VSL,tay chân sạch sẽ,3.0,72.44904226522583,11.03350126277453,0.1304997901121775,6.542550852250422,72.449042383562,228.0,0.32356036
VSL,rìu,1.0,111.01551660336554,17.150180173596155,0.3877415657043457,11.888026982391436,111.01551668718456,194.0,0.32344595
VSL,con cú mèo,1.0,70.63106085406616,28.605578989495296,1.889378309249878,22.22951544474249,70.63106062589213,67.0,0.31729054
VSL,trong ngoài,3.0,67.66832248494029,18.28951646544793,0.2913302592933178,10.171337110634893,67.66832254772696,91.66666666666669,0.3170289
VSL,trưởng thành,1.0,87.32741644792259,28.14196365110336,0.909641981124878,17.773837585164152,87.32741657458246,91.0,0.3169441
VSL,lễ Halloween 31_10,3.0,88.24509418507417,16.444751326325516,0.4813155929247538,11.8375488975882,88.24509395201069,169.33333333333334,0.31178728
VSL,u ám ( trời u ám),1.0,68.66303908638656,29.397588880998747,1.6760540008544922,22.910001497337785,68.66303834225982,65.0,0.30966958
VSL,mở màn,1.0,83.00011611543596,21.63055140233558,1.433523654937744,17.58474862179925,83.00011617853306,91.0,0.3095928
VSL,quả đu đủ,3.0,58.17223218285168,11.240182357741777,0.1522916108369827,6.192492291535477,58.17223234045863,149.33333333333334,0.30388853
VSL,môn Giáo dục thể chất,1.0,73.01473090797663,29.176685751279194,1.5345947742462158,17.76099410733661,73.01473090052605,75.0,0.30340856
VSL,võ thuật,1.0,90.332347240299,26.5417684749061,0.536738395690918,14.580948225259782,90.33234733715652,92.0,0.3030057
VSL,con thỏ,1.0,100.21880030445756,19.37778950314368,0.4315528571605682,10.363880185704485,100.21880021318792,135.0,0.30018225
