VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
sách,book,0.22698432937136187,0.6134921646856809,1,6,handshape (67.8%); movement (25.3%); orientation (6.9%)
đồ uống,drink,0.026046223159121612,0.5130231115795608,1,15,handshape (74.1%); movement (19.7%); orientation (5.3%)
phòng máy tính,computer,-0.09638529312232658,0.4518073534388367,1,14,handshape (65.4%); movement (23.9%); orientation (10.7%)
bàn ghế,chair,0.12686685375840095,0.5634334268792005,1,7,handshape (75.0%); movement (16.8%); orientation (8.2%)
đi,go,0.1981594406597959,0.599079720329898,1,15,handshape (74.9%); movement (16.4%); orientation (7.5%)
ai,who,0.607350487299392,0.803675243649696,3,14,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
kẹo,candy,-0.40911830649088476,0.2954408467545576,3,13,handshape (55.5%); movement (39.0%); orientation (4.9%)
giúp đỡ,help,-0.035057376911946714,0.48247131154402667,3,14,handshape (55.0%); movement (35.7%); orientation (9.3%)
không có,no,-0.3330937680081669,0.33345311599591654,1,11,handshape (53.7%); movement (39.0%); orientation (6.3%)
màu đen,black,-0.09014359927679419,0.4549282003616029,1,10,handshape (50.9%); movement (36.8%); orientation (10.1%)
hoàn thành,finish,0.6801481905321226,0.8400740952660612,1,9,handshape (62.8%); movement (24.2%); orientation (12.9%)
màu cam,orange,0.017857385837031052,0.5089286929185155,1,10,handshape (75.1%); movement (17.2%); orientation (6.9%)
bàn ghế,table,-0.5243158295051937,0.23784208524740313,1,5,handshape (81.1%); orientation (9.7%); movement (8.8%)
giường,bed,-0.12905472150875963,0.4354726392456202,1,13,handshape (78.4%); movement (11.6%); orientation (10.1%)
màu xanh da trời,blue,-0.34611746032027324,0.3269412698398634,3,8,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
con chó,dog,-0.44940006094340434,0.2752999695282978,3,11,movement (49.7%); handshape (43.4%); orientation (6.9%)
