VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
phòng thư viện,library,-0.698996589580921,0.15050170520953948,1,5,handshape (72.6%); movement (17.9%); orientation (9.5%)
Mexico (nước Mexico),mexico,-0.6358304709183997,0.18208476454080014,3,6,movement (64.5%); handshape (30.1%); orientation (4.6%)
con muỗi,mosquito,-0.5961844965569636,0.2019077517215182,3,4,handshape (78.5%); movement (11.5%); orientation (9.7%)
bức tranh,picture,-0.5708465488853663,0.21457672555731683,3,6,handshape (77.3%); movement (15.3%); orientation (7.4%)
ngày sinh,birthday,-0.5699117015290714,0.21504414923546428,3,6,handshape (64.0%); movement (29.8%); orientation (6.1%)
xe tải,truck,-0.5651124548630938,0.2174437725684531,1,6,handshape (64.3%); movement (27.0%); orientation (8.7%)
giá sách,shelf,-0.5532723202342138,0.2233638398828931,1,5,handshape (80.3%); movement (10.9%); orientation (8.9%)
quan trọng,important,-0.5400771404648639,0.22996142976756806,1,8,handshape (68.6%); movement (21.8%); orientation (9.0%)
bạn,friend,-0.5321191590731288,0.2339404204634356,3,7,handshape (76.0%); movement (17.7%); orientation (6.3%)
bánh mì,bread,-0.53183507751114,0.23408246124443,3,7,handshape (78.8%); movement (16.3%); orientation (4.9%)
bàn ghế,table,-0.5243158295051937,0.23784208524740313,1,5,handshape (81.1%); orientation (9.7%); movement (8.8%)
địa chỉ,address,-0.49724332255163395,0.251378338724183,3,4,handshape (77.8%); movement (13.9%); orientation (8.3%)
thích thú,enjoy,-0.49070407568030805,0.254647962159846,3,8,handshape (81.1%); movement (8.5%); orientation (7.5%)
gió Lào,wind,-0.4535301958734892,0.2732349020632554,1,8,handshape (74.0%); movement (20.8%); orientation (5.2%)
con rắn,snake,-0.4528247417507305,0.27358762912463475,1,7,handshape (58.0%); movement (34.9%); orientation (7.1%)
con chó,dog,-0.44940006094340434,0.2752999695282978,3,11,movement (49.7%); handshape (43.4%); orientation (6.9%)
nghiên cứu,research,-0.43015086833861826,0.28492456583069087,1,7,handshape (77.4%); orientation (12.5%); movement (10.1%)
ốm đau,sick,-0.42996440326465624,0.2850177983676719,1,8,handshape (75.4%); movement (17.7%); orientation (6.8%)
cắt nhau,cut,-0.4181684150632755,0.29091579246836224,1,8,handshape (71.0%); movement (23.3%); orientation (5.7%)
biển đông,sea,-0.4114844061409421,0.2942577969295289,1,5,handshape (80.8%); orientation (10.6%); movement (8.6%)
