VSL_gloss,ASL_gloss,cosine_similarity,similarity_score,sample_count_VSL,sample_count_ASL,top_difference_features
bụng,abdomen,0.9483697097845263,0.9741848548922631,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
i,i,0.9348728495823734,0.9674364247911866,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
a,a,0.9268486262492769,0.9634243131246385,1,4,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
cây nến,candle,0.9071743531668872,0.9535871765834436,1,6,handshape (71.5%); movement (21.3%); orientation (7.2%)
cửa sổ,window,0.9059903383859015,0.9529951691929508,1,6,handshape (67.6%); movement (25.1%); orientation (7.3%)
bố,dad,0.8569429064416292,0.9284714532208146,1,7,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
mùa đông,winter,0.842133673145289,0.9210668365726444,1,6,handshape (75.3%); movement (17.9%); orientation (6.7%)
bên dưới,under,0.8343478952754662,0.9171739476377331,1,5,handshape (65.9%); movement (26.7%); orientation (7.4%)
bên dưới,below,0.831463343358284,0.9157316716791419,1,6,handshape (64.6%); movement (30.2%); orientation (5.2%)
xe máy,motorcycle,0.8299874786722619,0.9149937393361309,1,7,handshape (68.5%); movement (26.4%); orientation (5.1%)
6,six,0.8283915296497308,0.9141957648248654,3,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
gặp gỡ,meet,0.8263704048638106,0.9131852024319054,1,9,handshape (68.1%); movement (21.4%); orientation (10.5%)
4,four,0.7910895529420554,0.8955447764710277,1,5,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
7,seven,0.7872844462839929,0.8936422231419965,1,6,movement (100.0%); handshape (0.0%); spatial relationship (0.0%)
buổi chiều,afternoon,0.7870309272237431,0.8935154636118716,1,7,handshape (61.8%); movement (29.0%); orientation (9.2%)
phiên dịch,interpret,0.7804000559321976,0.8902000279660989,3,4,handshape (65.6%); movement (29.7%); orientation (4.7%)
bỏng ngô,popcorn,0.7774185594501369,0.8887092797250684,1,4,handshape (75.3%); movement (16.8%); orientation (7.8%)
đọc sách,read,0.7723215040145935,0.8861607520072967,1,6,handshape (63.8%); movement (25.4%); orientation (10.7%)
làm việc,work,0.7659041108934355,0.8829520554467177,1,10,handshape (69.6%); movement (16.8%); orientation (13.7%)
mới,new,0.761695784530287,0.8808478922651435,3,9,handshape (58.8%); movement (32.1%); orientation (9.1%)
