dataset,gloss,num_samples,mean_frames,std_frames,sequence_length_variance
VSL,bạn,3.0,139.0,84.8528137423857,7200.0
VSL,quả đu đủ,3.0,174.33333333333334,75.93564526770167,5766.222222222223
VSL,tay chân sạch sẽ,3.0,208.66666666666663,72.07557761744883,5194.88888888889
VSL,ở ngoài,3.0,176.66666666666666,71.89034860273125,5168.222222222223
VSL,vật nuôi,3.0,120.66666666666669,68.11917661145223,4640.222222222222
VSL,đèn pin,3.0,131.0,67.96077299933151,4618.666666666667
VSL,Trung Thu,3.0,174.33333333333334,67.41084647311753,4544.222222222223
VSL,hành quân,3.0,191.66666666666663,66.94442139234273,4481.555555555556
VSL,trong ngoài,3.0,176.33333333333334,65.29080248311311,4262.88888888889
VSL,lâu,2.0,153.5,58.5,3422.25
VSL,yêu cầu,3.0,152.66666666666666,58.45416057808793,3416.888888888889
VSL,gầy (miền Nam_ ốm),3.0,138.0,57.10224747474189,3260.6666666666665
VSL,tha thứ,3.0,125.0,56.85654462475421,3232.6666666666665
VSL,thìa,3.0,123.66666666666669,56.09713797413277,3146.888888888889
VSL,trăng,3.0,157.0,55.16037224916694,3042.6666666666665
VSL,hứa,3.0,112.66666666666669,54.68292441175967,2990.222222222222
VSL,khỏi bệnh,3.0,125.0,54.57105459856901,2978.0
VSL,6,3.0,115.0,53.74011537017761,2888.0
VSL,thái độ,3.0,114.0,53.74011537017761,2888.0
VSL,lung tung,3.0,131.66666666666666,52.68986830712544,2776.2222222222226
ASL,april,5.0,97.0,51.637195895981804,2666.4
VSL,11,3.0,145.33333333333334,50.44028372464039,2544.222222222222
VSL,đề nghị,3.0,157.0,50.20624131187941,2520.6666666666665
VSL,trốn chạy,3.0,140.66666666666666,49.2634640366356,2426.888888888889
VSL,vắng,3.0,132.33333333333334,48.47221426297292,2349.555555555555
VSL,bảng cộng,3.0,138.33333333333334,47.6118565998942,2266.8888888888887
VSL,cháu ngoại,3.0,114.33333333333331,47.14752261666448,2222.888888888889
VSL,tiết kiệm,3.0,109.0,46.75467891024384,2186.0
VSL,tiếc,3.0,112.0,46.66904755831214,2178.0
VSL,cái gương,3.0,148.0,45.254833995939045,2048.0
VSL,x,3.0,102.33333333333331,44.31954672852851,1964.222222222222
VSL,chăm sóc sức khỏe,3.0,126.0,44.14370472294625,1948.6666666666667
VSL,người yêu,3.0,114.66666666666669,43.27688631231329,1872.888888888889
VSL,12,3.0,132.66666666666666,42.90558109254423,1840.888888888889
VSL,dấu sắc,3.0,90.0,42.42640687119285,1800.0
VSL,lễ Halloween 31_10,3.0,159.66666666666666,41.48359782961079,1720.888888888889
VSL,từ chối,3.0,107.33333333333331,40.794879853018585,1664.222222222222
ASL,plant,5.0,88.6,40.5640234690791,1645.44
VSL,dấu huyền,3.0,88.33333333333333,40.069384267237695,1605.5555555555557
VSL,ngày Nhà giáo Việt nam,2.0,141.0,40.0,1600.0
ASL,article,4.0,91.25,39.6445141223852,1571.6875
VSL,giao tiếp,3.0,128.0,39.59797974644666,1568.0
VSL,bìa vở,3.0,119.33333333333331,39.46587837050577,1557.5555555555554
VSL,t,3.0,97.0,38.91015291668744,1514.0
